"fk","tabela_origem","coluna_origem","tabela_destino","coluna_destino"
"FK_HistoricoVersaoLancamento_HistoricoVersoesCategoria","HistoricoVersoesLancamento","HistVerCat_Codigo","HistoricoVersoesCategoria","HistVerCat_Codigo"
"FK_HorariosDatasDetalhe_Horarios","HorariosDatasDetalhe","Hora_codigo","Horarios","Hora_codigo"
"FK_HorariosDatasDetalhe_HorariosDatas","HorariosDatasDetalhe","HoraData_codigo","HorariosDatas","HoraData_codigo"
"FK_IndicacaoGrupProdGrupoProduto","IndicacaoGrupProd","GrupoProduto_Codigo","GrupoProduto","GrupoProduto_Codigo"
"FK_Indicacoes_Detalhe_Bancos","Indicacoes_Detalhe","Ban_Codigo","Bancos","Ban_Codigo"
"FK_Indicacoes_Detalhe_Indicacoes","Indicacoes_Detalhe","Ind_codigo","Indicacoes","Ind_codigo"
"FK_Indicacoes_Detalhe_Municipio","Indicacoes_Detalhe","IndDet_CodCidade","Municipio","mun_codigo"
"FK_Indicacoes_Detalhe_Municipio1","Indicacoes_Detalhe","IndDet_banco_CodCidade","Municipio","mun_codigo"
"FK_Indicacoes_Detalhe_OrgaoRegistro","Indicacoes_Detalhe","OrgReg_Codigo","OrgaoRegistro","OrgReg_Codigo"
"FK_Indicacoes_Funcionario_Indicacoes","Indicacoes_Funcionario","Ind_codigo","Indicacoes","Ind_codigo"
"FK_Mensagem_Relatorio_Tipo_Relatorio","Mensagem_Relatorio","TpRel_codigo","Tipo_Relatorio","TpRel_codigo"
"FK_MetaVenda_MetaVendaDet","MetaVendaDet","MetaVenda_Codigo","MetaVenda","MetaVenda_Codigo"
"FK_MetaVendaDet_CategoriaRemuneracao","MetaVendaDet","CatRem_Codigo","CategoriaRemuneracao","CatRem_Codigo"
"FK_MetaVendaGrupProd_GrupoProduto","MetaVendaGrupProd","GrupoProduto_Codigo","GrupoProduto","GrupoProduto_Codigo"
"FK_MetaVendaTpVenda_CategoriaVenda","MetaVendaTpVenda","CatVen_Codigo","CategoriaVenda","CatVen_Codigo"
"FK_MetaVendaTpVenda_MetaVenda","MetaVendaTpVenda","MetaVenda_Codigo","MetaVenda","MetaVenda_Codigo"
"FK_Motivo_devolucao_tipo_Motivo_devolucao","Motivo_devolucao_tipo","Mod_codigo","Motivo_devolucao","Mod_codigo"
"FK_Motivo_devolucao_tipo_TipoMotivo","Motivo_devolucao_tipo","TpMot_codigo","TipoMotivo","TpMot_codigo"
"FK__Movimento__Cdc_c__21D600EE","Movimentos","Cdc_codigo","Centro_de_custo","Cdc_codigo"
"FK__Movimento__Cdc_c__2B5F6B28","Movimentos","Cdc_codigo","Centro_de_custo","Cdc_codigo"
"FK__Movimento__Cdc_c__30242045","Movimentos","Cdc_codigo","Centro_de_custo","Cdc_codigo"
"FK__Movimento__Cdc_c__36D11DD4","Movimentos","Cdc_codigo","Centro_de_custo","Cdc_codigo"
"FK__Movimento__Pco_c__35DCF99B","Movimentos","Pco_codigo","Plano_Contas","Pco_codigo"
"FK__Movimento__Tpd_c__22CA2527","Movimentos","Tpd_codigo","Tipo_documento","Tpd_codigo"
"FK__Movimento__Tpd_c__2C538F61","Movimentos","Tpd_codigo","Tipo_documento","Tpd_codigo"
"FK__Movimento__Tpd_c__3118447E","Movimentos","Tpd_codigo","Tipo_documento","Tpd_codigo"
"FK__Movimento__Tpd_c__37C5420D","Movimentos","Tpd_codigo","Tipo_documento","Tpd_codigo"
"FK_municipio_estado","Municipio","mun_uf","Estado","UF"
"FK_Municipio_paises","Municipio","Paises_codigo","Paises","Paises_Codigo"
"FK_Municipio_Regiao","Municipio","Regiao_Codigo","Regiao","Regiao_Codigo"
"FK_NFSe_Municipio","NFSe","Mun_codigo","Municipio","mun_codigo"
"FK_NFSeItens_NFSe","NFSeItens","NFSe_codigo","NFSe","NFSe_codigo"
"FK_Nota_entrada_motivo","Nota_entrada","Mod_codigo","Motivo_devolucao","Mod_codigo"
"FK_Nota_entrada_motivo_fin","Nota_entrada","nen_Mod_codigo_fin","Motivo_devolucao","Mod_codigo"
"FK_Nota_Entrada_Dif_Nota_entrada","Nota_Entrada_Dif","Nen_codigo","Nota_entrada","Nen_codigo"
"FK_NotaFiscalCategoriaVenda","NotaFiscal","CatVen_Codigo","CategoriaVenda","CatVen_Codigo"
"FK_NotaFiscalCFOP","NotaFiscal","CFOP_codigo","CFOP","CFOP_codigo"
"FK_NotaFiscalClientes","NotaFiscal","Cli_Codigo","Clientes","Cli_Codigo"
"FK_NotaFiscalModo","NotaFiscal","Mod_codigo","Motivo_devolucao","Mod_codigo"
"FK_NotaFiscalTransportadora","NotaFiscal","Tra_codigo","Transportadora","Tra_codigo"
"FK_NotaFiscalCCe_NotaFiscal","NotaFiscalCCe","NTF_Codigo","NotaFiscal","NTF_Codigo"
"FK_NotaFiscalComplementar_NotaFiscal","NotaFiscalComplementar","NTF_Codigo","NotaFiscal","NTF_Codigo"
